Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_TEMP_8,CPU_TEMP_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1770733636779,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,76.4555892944336,70.717041015625,76.529296875,76.13917541503906,76.89778137207031,76.66336822509766,70.40972900390625,71.51419067382813,70.8585205078125,70.8428726196289,50,0,NaN,50,50,66.66667175292969,50,0,0,0,21.870756149291992,17179869184,12884901888,13427965952,11890524160
204,1770733636779,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,76.4555892944336,70.717041015625,76.529296875,76.13917541503906,76.89778137207031,76.66336822509766,70.40972900390625,71.51419067382813,70.8585205078125,70.8428726196289,100,0,50,NaN,NaN,NaN,NaN,NaN,50,0,21.870756149291992,17179869184,12884901888,13429407744,11890524160
206,1770733636983,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,76.4555892944336,70.717041015625,76.529296875,76.13917541503906,76.89778137207031,76.66336822509766,70.40972900390625,71.51419067382813,70.8585205078125,70.8428726196289,100,100,100,100,100,100,100,100,100,100,21.870756149291992,17179869184,12884901888,13511147520,11890524160
199,1770733637190,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,76.26654052734375,71.34391021728516,76.53197479248047,76.56512451171875,77.31901550292969,77.40040588378906,72.15118408203125,73.65476989746094,73.61732482910156,73.32889556884766,100,100,100,100,100,100,100,100,100,100,21.870756149291992,17179869184,12884901888,13495287808,11890524160
202,1770733637390,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,76.26654052734375,71.34391021728516,76.53197479248047,76.56512451171875,77.31901550292969,77.40040588378906,72.15118408203125,73.65476989746094,73.61732482910156,73.32889556884766,100,100,100,100,100,100,100,100,100,100,21.870756149291992,17179869184,12884901888,13495697408,11890524160
203,1770733637593,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,76.26654052734375,71.34391021728516,76.53197479248047,76.56512451171875,77.31901550292969,77.40040588378906,72.15118408203125,73.65476989746094,73.61732482910156,73.32889556884766,100,100,100,100,100,100,100,100,100,100,23.273239135742188,17179869184,12884901888,13498155008,11890524160
206,1770733637796,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,76.26654052734375,71.34391021728516,76.53197479248047,76.56512451171875,77.31901550292969,77.40040588378906,72.15118408203125,73.65476989746094,73.61732482910156,73.32889556884766,100,100,100,100,100,100,100,100,100,100,23.273239135742188,17179869184,12884901888,13503643648,11890524160
204,1770733638003,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,76.26654052734375,71.34391021728516,76.53197479248047,76.56512451171875,77.31901550292969,77.40040588378906,72.15118408203125,73.65476989746094,73.61732482910156,73.32889556884766,100,100,100,100,100,100,100,100,100,100,23.273239135742188,17179869184,12884901888,13504659456,11890524160
201,1770733638208,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,75.13027954101563,72.2283706665039,75.33563995361328,75.63838958740234,77.47019958496094,77.75566101074219,73.53704833984375,75.19609069824219,77.2642593383789,77.3272476196289,100,100,100,100,100,100,100,100,100,100,23.273239135742188,17179869184,12884901888,13486178304,11890524160
204,1770733638410,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,75.13027954101563,72.2283706665039,75.33563995361328,75.63838958740234,77.47019958496094,77.75566101074219,73.53704833984375,75.19609069824219,77.2642593383789,77.3272476196289,100,100,100,100,100,100,100,100,100,100,23.273239135742188,17179869184,12884901888,13484081152,11890524160
204,1770733638614,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,75.13027954101563,72.2283706665039,75.33563995361328,75.63838958740234,77.47019958496094,77.75566101074219,73.53704833984375,75.19609069824219,77.2642593383789,77.3272476196289,100,100,100,100,100,100,100,100,100,100,24.67744255065918,17179869184,12884901888,13485080576,11890524160
201,1770733638823,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,75.13027954101563,72.2283706665039,75.33563995361328,75.63838958740234,77.47019958496094,77.75566101074219,73.53704833984375,75.19609069824219,77.2642593383789,77.3272476196289,100,100,100,100,100,100,100,100,100,100,24.67744255065918,17179869184,12884901888,13493764096,11890524160
199,1770733639025,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,75.13027954101563,72.2283706665039,75.33563995361328,75.63838958740234,77.47019958496094,77.75566101074219,73.53704833984375,75.19609069824219,77.2642593383789,77.3272476196289,100,100,100,100,100,100,100,100,100,100,24.67744255065918,17179869184,12884901888,13497974784,11890524160
203,1770733639225,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,75.54613494873047,72.22435760498047,75.93414306640625,75.89511108398438,77.82263946533203,78.2392349243164,73.49444580078125,75.24588012695313,77.42440032958984,77.5905532836914,100,100,100,100,100,100,100,100,100,100,24.67744255065918,17179869184,12884901888,13486424064,11890524160
202,1770733639428,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,75.54613494873047,72.22435760498047,75.93414306640625,75.89511108398438,77.82263946533203,78.2392349243164,73.49444580078125,75.24588012695313,77.42440032958984,77.5905532836914,100,100,100,100,100,100,100,100,100,100,24.67744255065918,17179869184,12884901888,13490765824,11890524160
