Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_TEMP_8,CPU_TEMP_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1770733697647,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,72.58822631835938,65.97830200195313,71.95697021484375,71.71074676513672,72.75623321533203,71.33280944824219,66.57499694824219,67.27871704101563,67.22425842285156,66.79226684570313,0,0,100,100,50,66.66667175292969,0,0,0,0,21.970495223999023,17179869184,12884901888,13547257856,11823415296
202,1770733697647,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,72.58822631835938,65.97830200195313,71.95697021484375,71.71074676513672,72.75623321533203,71.33280944824219,66.57499694824219,67.27871704101563,67.22425842285156,66.79226684570313,50,66.66667175292969,0,66.66667175292969,100,100,100,0,50,33.333335876464844,21.970495223999023,17179869184,12884901888,13547257856,11823415296
204,1770733697849,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,72.58822631835938,65.97830200195313,71.95697021484375,71.71074676513672,72.75623321533203,71.33280944824219,66.57499694824219,67.27871704101563,67.22425842285156,66.79226684570313,20,15.789472579956055,75,73.68421173095703,70,63.15789031982422,57.142860412597656,45,30.000001907348633,10.526315689086914,21.970495223999023,17179869184,12884901888,13547257856,11823415296
200,1770733698054,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,72.93095397949219,66.63523864746094,72.2166748046875,72.48101043701172,73.54874420166016,72.32074737548828,67.56483459472656,68.74188232421875,68.47868347167969,68.13117218017578,20,23.809524536132813,80.95238494873047,80,70,70,55,36.842105865478516,20,9.523809432983398,21.970495223999023,17179869184,12884901888,13547257856,11823415296
202,1770733698255,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,72.93095397949219,66.63523864746094,72.2166748046875,72.48101043701172,73.54874420166016,72.32074737548828,67.56483459472656,68.74188232421875,68.47868347167969,68.13117218017578,50,42.105262756347656,78.94737243652344,77.77777862548828,75,71.42857360839844,52.6315803527832,47.619049072265625,31.57894515991211,10,21.970495223999023,17179869184,12884901888,13527023616,11823415296
203,1770733698458,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,72.93095397949219,66.63523864746094,72.2166748046875,72.48101043701172,73.54874420166016,72.32074737548828,67.56483459472656,68.74188232421875,68.47868347167969,68.13117218017578,28.571430206298828,20,75,75,75,66.66667175292969,55,36.842105865478516,33.333335876464844,10,21.970495223999023,17179869184,12884901888,13531430912,11823415296
204,1770733698661,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,72.93095397949219,66.63523864746094,72.2166748046875,72.48101043701172,73.54874420166016,72.32074737548828,67.56483459472656,68.74188232421875,68.47868347167969,68.13117218017578,15.789472579956055,19.047618865966797,78.94737243652344,75,73.68421173095703,71.42857360839844,60.000003814697266,42.85714340209961,25,21.052631378173828,22.80152702331543,17179869184,12884901888,13538181120,11823415296
203,1770733698866,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,72.93095397949219,66.63523864746094,72.2166748046875,72.48101043701172,73.54874420166016,72.32074737548828,67.56483459472656,68.74188232421875,68.47868347167969,68.13117218017578,28.571430206298828,25,80,71.42857360839844,75,65,47.36842346191406,40,21.052631378173828,9.523809432983398,22.80152702331543,17179869184,12884901888,13549666304,11823415296
201,1770733699070,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,73.25365447998047,66.99198913574219,72.52471923828125,72.73192596435547,73.47217559814453,72.84872436523438,68.1970443725586,69.54725646972656,69.28404235839844,68.88179779052734,73.68421173095703,75,75,75,70,65,60.000003814697266,36.842105865478516,33.333335876464844,10,22.80152702331543,17179869184,12884901888,13549666304,11823415296
204,1770733699271,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,73.25365447998047,66.99198913574219,72.52471923828125,72.73192596435547,73.47217559814453,72.84872436523438,68.1970443725586,69.54725646972656,69.28404235839844,68.88179779052734,76.19047546386719,52.38095474243164,75,78.94737243652344,76.19047546386719,68.42105102539063,57.142860412597656,40,25,5,22.80152702331543,17179869184,12884901888,13570048000,11823415296
